"ROI 1","ROI 2","ROI 3","ROI 4","ROI 5"
-0.00916267,-0.0248596,-0.00620221,-0.028686,-0.00959084
-0.0101773,-0.0252019,-0.00800837,-0.0251857,-0.00793835
-0.00878141,-0.0250716,-0.00780893,-0.0243074,-0.00863251
-0.0103411,-0.0252446,-0.00705428,-0.0234292,-0.0103843
-0.00984213,-0.0254457,-0.00507762,-0.0230596,-0.00967627
-0.0105834,-0.0253392,-0.00876579,-0.0226719,-0.0105528
-0.00902401,-0.0262236,-0.00790931,-0.0206652,-0.00991996
-0.0110203,-0.0250377,-0.00495122,-0.0189999,-0.00835873
-0.0103412,-0.0266214,-0.00580044,-0.0196866,-0.010015
-0.0103412,-0.0266214,-0.00580044,-0.0196866,-0.010015
-0.00782879,-0.0263755,-0.00602677,-0.0170469,-0.00934118
-0.00782879,-0.0263755,-0.00602677,-0.0170469,-0.00934118
-0.00879281,-0.0245388,-0.00719785,-0.0173657,-0.00904581
-0.0101165,-0.0252924,-0.00654669,-0.0171972,-0.00892748
-0.00984025,-0.025775,-0.00549508,-0.0172773,-0.00838077
-0.01045,-0.025296,-0.00814736,-0.016102,-0.00917829
-0.010519,-0.0259628,-0.00572476,-0.0151029,-0.0096236
-0.0109701,-0.0251841,-0.00859943,-0.0148345,-0.00992487
-0.00908297,-0.0262303,-0.00611068,-0.0151298,-0.0111328
-0.00895683,-0.0257642,-0.00589506,-0.0149004,-0.00920867
-0.0107716,-0.0264481,-0.00609611,-0.0132737,-0.0107017
-0.00983396,-0.0258906,-0.00572268,-0.0140166,-0.00967394
-0.00873294,-0.0258711,-0.00531733,-0.0138578,-0.00988955
-0.00840732,-0.0262143,-0.00762515,-0.0134633,-0.00961468
-0.00965661,-0.0258164,-0.00664902,-0.0128565,-0.0100699
-0.00962928,-0.0261011,-0.00803157,-0.0144717,-0.0103653
-0.0092413,-0.0257351,-0.00782489,-0.0138093,-0.0122201
-0.00762752,-0.0266233,-0.00673208,-0.0125475,-0.00897562
-0.00887005,-0.0260826,-0.00672124,-0.0114043,-0.0107127
-0.0090469,-0.0260654,-0.00866621,-0.010675,-0.0114573
-0.0090469,-0.0260654,-0.00866621,-0.010675,-0.0114573
-0.00903964,-0.0259886,-0.00647911,-0.0120959,-0.0110424
-0.00903964,-0.0259886,-0.00647911,-0.0120959,-0.0110424
-0.0081527,-0.0258158,-0.00821292,-0.0127264,-0.00973719
-0.00821807,-0.0266696,-0.0060207,-0.0112908,-0.0101296
-0.00732385,-0.0272305,-0.00865385,-0.0113688,-0.0105735
-0.0106361,-0.0264663,-0.00640842,-0.0110423,-0.00992864
-0.0106361,-0.0264663,-0.00640842,-0.0110423,-0.00992864
-0.00729541,-0.0261187,-0.00603104,-0.0112896,-0.00975373
-0.00898557,-0.0268644,-0.00885203,-0.0113132,-0.0108844
-0.0115194,-0.0271753,-0.00889187,-0.0114828,-0.0106149
-0.00892398,-0.0264284,-0.00633055,-0.0111038,-0.00902996
-0.00718559,-0.0271352,-0.00738309,-0.0112877,-0.0114718
-0.00718464,-0.0278614,-0.00460287,-0.0117082,-0.0123239
-0.00723608,-0.0272786,-0.00866383,-0.00933475,-0.0109936
-0.0075404,-0.0269532,-0.00557056,-0.011402,-0.011719
-0.0075404,-0.0269532,-0.00557056,-0.011402,-0.011719
-0.0075284,-0.026532,-0.00972887,-0.0108585,-0.011849
-0.00895464,-0.02713,-0.0078828,-0.0111876,-0.0127961
-0.00895464,-0.02713,-0.0078828,-0.0111876,-0.0127961
-0.00880999,-0.0268261,-0.00933222,-0.0115424,-0.0126571
-0.00847853,-0.027325,-0.0086415,-0.00975367,-0.0113541
-0.00735934,-0.0268659,-0.00894958,-0.00999884,-0.0143203
-0.00662945,-0.0272126,-0.00828328,-0.0114008,-0.0119637
-0.00662945,-0.0272126,-0.00828328,-0.0114008,-0.0119637
-0.00726153,-0.0262325,-0.00745817,-0.0106239,-0.00948965
-0.00858416,-0.0260823,-0.00883117,-0.0101336,-0.0105547
-0.00628872,-0.0256053,-0.00984634,-0.0101415,-0.0113628
-0.00635322,-0.0265401,-0.00475173,-0.00990912,-0.0123674
-0.00654645,-0.0266558,-0.00723018,-0.0088316,-0.00998309
-0.00621422,-0.0270024,-0.00398986,-0.0107104,-0.00983808
-0.00715778,-0.027041,-0.00691125,-0.00976404,-0.0113151
-0.00535023,-0.0265279,-0.0063777,-0.00995397,-0.0103804
-0.00540841,-0.0263437,-0.00935724,-0.0095738,-0.00999113
-0.00656235,-0.0259626,-0.00856141,-0.00998067,-0.0110677
-0.00717818,-0.0260714,-0.00546713,-0.00961521,-0.00913655
-0.00808943,-0.0259525,-0.00774802,-0.00873231,-0.00984728
-0.00654422,-0.0255843,-0.00794167,-0.00922511,-0.0110606
-0.00770181,-0.0248359,-0.00787647,-0.00905172,-0.00828791
-0.00577793,-0.0259136,-0.0065816,-0.00971935,-0.009022
-0.0048039,-0.0253824,-0.00743963,-0.00810764,-0.010348
-0.0048039,-0.0253824,-0.00743963,-0.00810764,-0.010348
-0.0057108,-0.0252742,-0.00580722,-0.00787721,-0.0105887
-0.00364969,-0.0258059,-0.00331094,-0.00930848,-0.0103666
-0.00364969,-0.0258059,-0.00331094,-0.00930848,-0.0103666
-0.00540793,-0.0254017,-0.00832352,-0.00998637,-0.00832151
-0.00510557,-0.0245721,-0.00827165,-0.00922709,-0.00831688
-0.00489681,-0.0245178,-0.00775118,-0.00856557,-0.00821579
-0.00556353,-0.0247831,-0.00537693,-0.00750444,-0.00891172
-0.00417378,-0.0240029,-0.00641547,-0.00823418,-0.00838966
-0.00617024,-0.023928,-0.0066767,-0.00831116,-0.00849889
-0.00487998,-0.0242845,-0.00445076,-0.00897159,-0.00961601
-0.00467891,-0.0248831,-0.00716822,-0.00952586,-0.0110714
-0.00583678,-0.0241307,-0.00462002,-0.0085213,-0.00773137
-0.00470572,-0.0232914,-0.00489229,-0.00790087,-0.00852381
-0.00544112,-0.023518,-0.00550381,-0.00834769,-0.00581823
-0.00478857,-0.0232678,-0.0066037,-0.00713241,-0.0059925
-0.00540842,-0.0228231,-0.00356289,-0.00902892,-0.00795976
-0.0055327,-0.0228008,-0.00269392,-0.00807018,-0.0100737
-0.0055327,-0.0228008,-0.00269392,-0.00807018,-0.0100737
-0.0055327,-0.0228008,-0.00269392,-0.00807018,-0.0100737
-0.00404569,-0.0216816,-0.00409716,-0.0064085,-0.00562042
-0.00302749,-0.0216438,-0.00271379,-0.00764567,-0.00807213
-0.00344572,-0.0212965,-0.00225161,-0.00650701,-0.00575808
-0.00203463,-0.0208365,-0.00469532,-0.00698995,-0.00784642
-0.0027645,-0.0204093,-0.0022127,-0.00575235,-0.00674063
-0.0027645,-0.0204093,-0.0022127,-0.00575235,-0.00674063
-0.000502937,-0.0172824,-0.00343312,-0.00540961,-0.00492485
6.73397e-05,-0.0174625,-0.0030084,-0.00461435,-0.00576578
0.000146402,-0.0156307,-0.00280692,-0.00336801,-0.00552014
-0.000988826,-0.015036,-0.00458776,-0.00326808,-0.00619516
-0.000988826,-0.015036,-0.00458776,-0.00326808,-0.00619516
0.00183221,-0.0139629,-0.00252246,-0.00172679,-0.00401963
0.00321832,-0.0137764,-0.00305477,-0.00232777,0.000958555
0.00461132,-0.0146632,-0.000604455,0.000706881,0.00227741
0.00609666,-0.01358,-0.00103497,0.000689819,0.00403114
0.0067601,-0.0146509,-0.00134588,0.00163301,0.00634996
0.00506751,-0.0151099,-0.000671169,0.00101951,0.0108477
0.0061881,-0.0159194,-0.00309219,0.00202801,0.0172911
0.0061881,-0.0159194,-0.00309219,0.00202801,0.0172911
0.00587117,-0.0160502,-0.00292738,0.00259347,0.0217529
0.00395416,-0.0156177,-0.00287021,0.000372612,0.0232221
0.00409656,-0.0159946,0.000356359,0.00192336,0.0301295
0.00316583,-0.0155004,-0.000294242,0.00228355,0.0300513
0.00176939,-0.0164752,-0.00196134,0.00194958,0.0290135
0.00176939,-0.0164752,-0.00196134,0.00194958,0.0290135
0.00360084,-0.016427,-0.00175484,0.00189799,0.0260196
0.00360084,-0.016427,-0.00175484,0.00189799,0.0260196
0.00442495,-0.0155685,-0.00292009,0.00172505,0.0256464
0.00295752,-0.0160178,-0.00014853,0.00276432,0.0243335
0.00374935,-0.0151276,-0.00309713,0.00322301,0.0243725
0.00199011,-0.0146445,-0.00112108,0.00279017,0.0230452
0.00291427,-0.0139301,-0.000792624,0.00191651,0.0223877
0.00132618,-0.00949754,-0.00248838,0.00245924,0.0202016
0.00265036,-0.010852,-0.000625874,0.00282385,0.0208613
0.00144413,-0.0104987,-0.001486,0.0011136,0.0178433
